date,shooting_no
19/09/2019,1
20/09/2019,2
21/09/2019,2
22/09/2019,1
23/09/2019,2
24/09/2019,1
25/09/2019,2
26/09/2019,2
28/09/2019,1
29/09/2019,4
30/09/2019,2
1/10/2019,4
3/10/2019,1
4/10/2019,1
5/10/2019,1
6/10/2019,2
7/10/2019,2
8/10/2019,3
9/10/2019,1
10/10/2019,2
11/10/2019,1
12/10/2019,3
13/10/2019,3
14/10/2019,3
15/10/2019,5
16/10/2019,2
17/10/2019,4
18/10/2019,2
19/10/2019,2
20/10/2019,2
21/10/2019,3
23/10/2019,5
24/10/2019,1
25/10/2019,4
26/10/2019,3
27/10/2019,5
28/10/2019,1
30/10/2019,4
31/10/2019,3
1/11/2019,5
2/11/2019,2
3/11/2019,2
4/11/2019,3
5/11/2019,4
6/11/2019,4
7/11/2019,4
8/11/2019,1
9/11/2019,2
11/11/2019,3
12/11/2019,2
13/11/2019,3
14/11/2019,2
15/11/2019,2
16/11/2019,2
18/11/2019,2
19/11/2019,6
20/11/2019,4
22/11/2019,2
23/11/2019,2
24/11/2019,1
25/11/2019,2
26/11/2019,2
27/11/2019,1
28/11/2019,3
29/11/2019,4
30/11/2019,1
1/12/2019,6
2/12/2019,4
3/12/2019,3
5/12/2019,5
6/12/2019,2
7/12/2019,2
8/12/2019,1
9/12/2019,1
10/12/2019,8
11/12/2019,2
12/12/2019,6
14/12/2019,4
15/12/2019,4
16/12/2019,3
17/12/2019,4
19/12/2019,6
20/12/2019,3
21/12/2019,4
22/12/2019,2
23/12/2019,3
24/12/2019,2
25/12/2019,2
26/12/2019,2
27/12/2019,4
28/12/2019,5
29/12/2019,3
30/12/2019,3
31/12/2019,6
1/01/2020,3
2/01/2020,5
4/01/2020,1
5/01/2020,6
6/01/2020,4
7/01/2020,1
8/01/2020,1
9/01/2020,4
10/01/2020,2
11/01/2020,3
12/01/2020,3
13/01/2020,2
14/01/2020,1
15/01/2020,5
16/01/2020,3
17/01/2020,1
19/01/2020,1
20/01/2020,4
21/01/2020,6
22/01/2020,3
23/01/2020,6
24/01/2020,3
25/01/2020,2
27/01/2020,4
28/01/2020,3
29/01/2020,3
30/01/2020,2
1/02/2020,3
2/02/2020,2
3/02/2020,1
4/02/2020,4
5/02/2020,2
6/02/2020,1
7/02/2020,2
8/02/2020,1
9/02/2020,4
10/02/2020,3
12/02/2020,2
13/02/2020,3
14/02/2020,5
15/02/2020,1
16/02/2020,4
17/02/2020,2
18/02/2020,1
19/02/2020,1
20/02/2020,2
21/02/2020,1
22/02/2020,1
24/02/2020,3
25/02/2020,2
26/02/2020,3
27/02/2020,3
28/02/2020,1
29/02/2020,3
1/03/2020,3
2/03/2020,1
3/03/2020,1
4/03/2020,1
5/03/2020,3
6/03/2020,4
7/03/2020,1
8/03/2020,5
9/03/2020,2
10/03/2020,1
11/03/2020,2
12/03/2020,3
13/03/2020,5
14/03/2020,4
15/03/2020,4
16/03/2020,4
17/03/2020,1
18/03/2020,3
19/03/2020,2
20/03/2020,4
23/03/2020,2
24/03/2020,4
25/03/2020,2
26/03/2020,2
27/03/2020,2
28/03/2020,1
29/03/2020,1
30/03/2020,2
31/03/2020,3
1/04/2020,1
2/04/2020,5
5/04/2020,4
6/04/2020,2
7/04/2020,5
8/04/2020,2
9/04/2020,3
10/04/2020,2
11/04/2020,3
12/04/2020,1
13/04/2020,1
14/04/2020,1
15/04/2020,3
16/04/2020,3
17/04/2020,2
18/04/2020,2
19/04/2020,2
21/04/2020,2
22/04/2020,2
23/04/2020,1
24/04/2020,3
25/04/2020,1
26/04/2020,1
28/04/2020,2
29/04/2020,3
30/04/2020,1
1/05/2020,5
3/05/2020,7
4/05/2020,1
5/05/2020,6
6/05/2020,3
7/05/2020,4
8/05/2020,1
9/05/2020,5
10/05/2020,1
12/05/2020,1
13/05/2020,2
14/05/2020,3
15/05/2020,2
16/05/2020,3
17/05/2020,2
18/05/2020,2
19/05/2020,3
20/05/2020,1
21/05/2020,2
23/05/2020,2
25/05/2020,2
26/05/2020,4
27/05/2020,5
28/05/2020,3
29/05/2020,5
30/05/2020,1
31/05/2020,2
1/06/2020,3
2/06/2020,2
3/06/2020,4
5/06/2020,1
6/06/2020,2
7/06/2020,1
9/06/2020,1
11/06/2020,3
12/06/2020,2
13/06/2020,2
15/06/2020,1
