date,shooting_no
2/12/2015,6
3/12/2015,1
4/12/2015,2
5/12/2015,5
6/12/2015,3
8/12/2015,2
9/12/2015,1
10/12/2015,3
11/12/2015,1
12/12/2015,6
13/12/2015,4
14/12/2015,8
15/12/2015,1
16/12/2015,1
17/12/2015,2
18/12/2015,3
19/12/2015,2
20/12/2015,2
21/12/2015,7
22/12/2015,3
23/12/2015,1
24/12/2015,3
25/12/2015,1
26/12/2015,4
27/12/2015,3
28/12/2015,1
29/12/2015,2
30/12/2015,1
31/12/2015,1
1/01/2016,1
2/01/2016,3
3/01/2016,1
4/01/2016,2
5/01/2016,6
6/01/2016,3
8/01/2016,2
10/01/2016,2
11/01/2016,4
12/01/2016,2
13/01/2016,2
14/01/2016,2
15/01/2016,2
16/01/2016,6
17/01/2016,5
18/01/2016,5
19/01/2016,3
20/01/2016,3
21/01/2016,1
23/01/2016,1
25/01/2016,1
26/01/2016,1
27/01/2016,8
28/01/2016,3
29/01/2016,3
30/01/2016,4
31/01/2016,4
1/02/2016,2
2/02/2016,1
3/02/2016,3
4/02/2016,5
5/02/2016,4
6/02/2016,1
7/02/2016,2
8/02/2016,3
9/02/2016,2
10/02/2016,5
11/02/2016,3
12/02/2016,3
13/02/2016,4
14/02/2016,3
15/02/2016,2
16/02/2016,3
17/02/2016,1
18/02/2016,4
19/02/2016,2
20/02/2016,4
21/02/2016,5
22/02/2016,4
23/02/2016,4
24/02/2016,5
25/02/2016,4
26/02/2016,2
27/02/2016,1
28/02/2016,2
29/02/2016,1
1/03/2016,3
2/03/2016,2
3/03/2016,1
4/03/2016,1
5/03/2016,2
6/03/2016,3
7/03/2016,5
8/03/2016,1
10/03/2016,5
11/03/2016,4
12/03/2016,3
13/03/2016,7
14/03/2016,1
15/03/2016,3
16/03/2016,3
17/03/2016,4
18/03/2016,1
19/03/2016,4
20/03/2016,4
21/03/2016,3
22/03/2016,2
23/03/2016,3
24/03/2016,6
26/03/2016,4
27/03/2016,5
29/03/2016,3
30/03/2016,3
31/03/2016,4
1/04/2016,2
2/04/2016,1
3/04/2016,4
4/04/2016,1
5/04/2016,2
6/04/2016,3
7/04/2016,2
8/04/2016,3
9/04/2016,2
10/04/2016,3
11/04/2016,2
12/04/2016,3
13/04/2016,3
14/04/2016,1
15/04/2016,3
16/04/2016,1
17/04/2016,5
18/04/2016,2
19/04/2016,3
20/04/2016,2
21/04/2016,1
22/04/2016,2
23/04/2016,5
25/04/2016,1
26/04/2016,4
27/04/2016,3
28/04/2016,4
29/04/2016,1
30/04/2016,4
1/05/2016,2
2/05/2016,1
3/05/2016,1
4/05/2016,3
5/05/2016,3
6/05/2016,1
7/05/2016,3
8/05/2016,1
9/05/2016,5
10/05/2016,1
11/05/2016,4
13/05/2016,1
14/05/2016,4
15/05/2016,1
16/05/2016,1
17/05/2016,1
18/05/2016,3
19/05/2016,5
20/05/2016,1
21/05/2016,3
22/05/2016,4
23/05/2016,1
24/05/2016,2
25/05/2016,2
26/05/2016,5
27/05/2016,1
28/05/2016,2
29/05/2016,4
30/05/2016,2
31/05/2016,1
1/06/2016,2
2/06/2016,2
3/06/2016,2
4/06/2016,3
5/06/2016,1
6/06/2016,2
7/06/2016,4
8/06/2016,1
9/06/2016,4
10/06/2016,4
11/06/2016,2
12/06/2016,3
13/06/2016,4
14/06/2016,4
15/06/2016,2
16/06/2016,4
18/06/2016,3
19/06/2016,1
20/06/2016,2
21/06/2016,3
22/06/2016,6
23/06/2016,2
24/06/2016,5
25/06/2016,3
26/06/2016,4
27/06/2016,5
28/06/2016,2
29/06/2016,4
30/06/2016,3
1/07/2016,3
2/07/2016,2
3/07/2016,3
4/07/2016,3
5/07/2016,4
6/07/2016,2
7/07/2016,3
8/07/2016,1
9/07/2016,1
10/07/2016,1
11/07/2016,5
12/07/2016,1
13/07/2016,2
14/07/2016,1
15/07/2016,1
16/07/2016,3
17/07/2016,4
18/07/2016,1
20/07/2016,1
21/07/2016,2
22/07/2016,1
23/07/2016,3
24/07/2016,2
25/07/2016,2
26/07/2016,2
27/07/2016,6
28/07/2016,6
29/07/2016,2
31/07/2016,3
1/08/2016,4
2/08/2016,5
3/08/2016,3
5/08/2016,3
7/08/2016,2
8/08/2016,5
9/08/2016,3
11/08/2016,3
12/08/2016,2
13/08/2016,4
15/08/2016,2
16/08/2016,7
17/08/2016,1
18/08/2016,7
19/08/2016,5
20/08/2016,1
21/08/2016,1
22/08/2016,1
23/08/2016,1
24/08/2016,3
25/08/2016,2
26/08/2016,1
27/08/2016,2
28/08/2016,1
29/08/2016,3
30/08/2016,3
31/08/2016,2
1/09/2016,4
2/09/2016,3
3/09/2016,3
4/09/2016,2
5/09/2016,2
6/09/2016,4
7/09/2016,3
8/09/2016,2
9/09/2016,3
10/09/2016,2
11/09/2016,1
12/09/2016,2
14/09/2016,1
15/09/2016,3
16/09/2016,3
17/09/2016,5
18/09/2016,1
19/09/2016,3
20/09/2016,6
21/09/2016,1
23/09/2016,3
25/09/2016,1
26/09/2016,4
27/09/2016,2
28/09/2016,2
29/09/2016,1
30/09/2016,6
1/10/2016,2
2/10/2016,2
3/10/2016,2
4/10/2016,3
5/10/2016,2
7/10/2016,5
8/10/2016,3
9/10/2016,2
10/10/2016,3
11/10/2016,2
12/10/2016,3
13/10/2016,2
14/10/2016,3
16/10/2016,2
17/10/2016,3
18/10/2016,4
19/10/2016,2
20/10/2016,1
21/10/2016,2
22/10/2016,1
23/10/2016,3
24/10/2016,1
25/10/2016,4
26/10/2016,2
27/10/2016,3
28/10/2016,3
30/10/2016,3
31/10/2016,3
1/11/2016,1
2/11/2016,2
3/11/2016,1
4/11/2016,2
5/11/2016,4
6/11/2016,6
7/11/2016,1
8/11/2016,4
9/11/2016,1
10/11/2016,2
11/11/2016,3
12/11/2016,2
13/11/2016,2
15/11/2016,2
16/11/2016,2
18/11/2016,4
19/11/2016,3
20/11/2016,2
21/11/2016,2
22/11/2016,4
23/11/2016,2
25/11/2016,3
26/11/2016,1
27/11/2016,4
28/11/2016,3
29/11/2016,4
30/11/2016,1
1/12/2016,3
2/12/2016,3
4/12/2016,2
6/12/2016,4
7/12/2016,4
9/12/2016,3
10/12/2016,2
11/12/2016,5
12/12/2016,3
13/12/2016,2
15/12/2016,1
17/12/2016,3
18/12/2016,3
19/12/2016,1
20/12/2016,1
21/12/2016,4
22/12/2016,1
23/12/2016,1
24/12/2016,3
25/12/2016,3
27/12/2016,3
28/12/2016,1
30/12/2016,1
31/12/2016,3
1/01/2017,6
3/01/2017,2
4/01/2017,4
5/01/2017,2
6/01/2017,2
7/01/2017,6
8/01/2017,1
9/01/2017,2
10/01/2017,2
11/01/2017,3
